Entity,Code,Year,Wage_Gap
Australia,AUS,1975,21.6
Australia,AUS,1976,20.8
Australia,AUS,1977,18.4
Australia,AUS,1978,19.8
Australia,AUS,1979,20
Australia,AUS,1980,18.8
Australia,AUS,1981,18.3
Australia,AUS,1982,20.8
Australia,AUS,1983,19.2
Australia,AUS,1984,18.7
Australia,AUS,1985,19.6
Australia,AUS,1986,18.8
Australia,AUS,1987,18.5
Australia,AUS,1988,18.8
Australia,AUS,1989,18.6
Australia,AUS,1990,18.2
Australia,AUS,1991,16
Australia,AUS,1992,14.3
Australia,AUS,1993,13.2
Australia,AUS,1994,14.4
Australia,AUS,1995,14.5
Australia,AUS,1997,15.3
Australia,AUS,1998,13.2
Australia,AUS,1999,14.3
Australia,AUS,2000,17.2
Australia,AUS,2001,14.3
Australia,AUS,2002,15
Australia,AUS,2003,13
Australia,AUS,2004,14.4
Australia,AUS,2005,15.8
Australia,AUS,2006,16.7
Australia,AUS,2007,15.4
Australia,AUS,2008,11.9
Australia,AUS,2009,16.4
Australia,AUS,2010,14
Australia,AUS,2011,16
Australia,AUS,2012,13.8
Australia,AUS,2013,18
Australia,AUS,2014,15.4
Australia,AUS,2015,13
Australia,AUS,2016,14.3
